ma_hoc_sinh,so_thich,ky_nang
SV0196,"âm nhạc, viết blog công nghệ, vẽ giao diện app, chia sẻ kiến thức trên LinkedIn, quay Tiktok chia sẻ kiến thức","phân tích hành vi người dùng, quản trị hệ thống Linux, hiểu mô hình ERP, tạo dashboard KPI, vẽ quy trình BPMN"
SV0197,"sưu tầm đồ công nghệ, xem phim sci-fi, chia sẻ kiến thức trên LinkedIn, du lịch, thử dựng infographic","phân tích hành vi người dùng, phân tích dữ liệu định lượng, phân tích nghiệp vụ, hiểu mô hình ERP, kiểm toán nội bộ và bên ngoài"
SV0198,"tìm hiểu AI, chia sẻ kiến thức trên LinkedIn, viết content cho mạng xã hội, thiết kế poster, theo dõi các trang TechCrunch, Hacker News","quản lý thời gian, viết báo cáo, phân tích nghiệp vụ, quản lý quỹ đầu tư, tư duy phản biện"
SV0199,"xem vlog du học ngành IT, chơi nhạc cụ, viết truyện ngắn, đọc sách self-help, đọc sách","vẽ quy trình BPMN, tư duy phản biện, xây dựng hệ thống hỗ trợ ra quyết định, kiểm toán nội bộ và bên ngoài, quản lý gian hàng online"
SV0200,"luyện kỹ năng phản biện, xem phân tích case startup, xem livestream hackathon, đọc sách, chơi nhạc cụ","lập trình Python, giao tiếp hiệu quả, hiểu cấu trúc dữ liệu & giải thuật, phân tích rủi ro tài chính, xây dựng mô hình ML cơ bản"
SV0201,"follow fashion tech trends, chạy bộ Strava, trồng cây mini trong phòng, tập gym, học nhảy trên YouTube","thực hành CTF cơ bản, xây dựng hệ thống an toàn thông tin doanh nghiệp, phát hiện lỗ hổng OWASP, chạy quảng cáo cơ bản, kiểm thử bảo mật"
SV0202,"chơi game giải đố, tập vẽ tay, lập kế hoạch học tập, xem video phân tích dữ liệu, vọc Python","ứng dụng trí tuệ nhân tạo trong kinh doanh, viết nội dung marketing, viết báo cáo, thiết kế UI/UX cho website, thiết kế truyền thông đa phương tiện"
SV0203,"thể thao, làm portfolio online, thiền và yoga, đọc sách, đọc sách self-help","viết tài liệu SRS, lập trình Python, quản lý mật khẩu an toàn, chạy quảng cáo cơ bản, định giá tài sản"
SV0204,"xây web cá nhân, đọc sách self-help, chạy thử chatbot, xem vlog du học ngành IT, cắm trại","quản lý dự án sáng tạo, hiểu mô hình ERP, tạo báo cáo với Power BI, quản trị hệ thống Linux, viết tài liệu SRS"
SV0205,"nấu ăn healthy, du lịch, lập kế hoạch học tập, follow fashion tech trends, follow các dev trên YouTube","tích hợp tài chính công nghệ (FinTech), viết tài liệu SRS, thiết kế truyền thông đa phương tiện, mã hóa dữ liệu cơ bản, viết nội dung marketing"
SV0206,"cắm trại, quay Tiktok chia sẻ kiến thức, xem video TEDx, follow các dev trên YouTube, du lịch","quản lý dự án sáng tạo, viết báo cáo, tư duy phản biện, quản trị nông nghiệp và bền vững, tạo báo cáo với Power BI"
SV0207,"thiết kế CV cá nhân đẹp, vẽ giao diện app, chơi Rubik, chơi game giải đố, chơi nhạc cụ","giao tiếp hiệu quả, quản trị nhân lực hiện đại, tích hợp tài chính công nghệ (FinTech), phân tích log hệ thống, trình bày báo cáo"
SV0208,"thiết kế poster, viết nhật ký phát triển bản thân, tập gym, làm portfolio online, follow fashion tech trends","vận hành hệ thống thương mại điện tử, thiết kế truyền thông đa phương tiện, lập trình Java, giao dịch chứng khoán, kiểm thử bảo mật"
SV0209,"làm đồ handmade, chụp ảnh sản phẩm, viết content cho mạng xã hội, xem phân tích case startup, xem phim","phân tích dữ liệu định lượng, triển khai ứng dụng web, xây dựng hệ thống an toàn thông tin doanh nghiệp, tạo dashboard KPI, viết báo cáo"
SV0210,"chơi game, luyện kỹ năng phản biện, đạp xe buổi chiều, tìm hiểu Blockchain, viết blog công nghệ","quản lý đổi mới sáng tạo trong doanh nghiệp, phân tích hình ảnh và video trong truyền thông số, giao tiếp hiệu quả, hiểu mô hình ERP, quản lý mật khẩu an toàn"
SV0211,"học kỹ năng nói trước đám đông, vẽ tranh tay, thử dựng infographic, viết truyện ngắn, chia sẻ kiến thức trên LinkedIn","triển khai ứng dụng web, quản lý gian hàng online, phân tích dữ liệu định lượng, tạo dashboard KPI, trình bày báo cáo"
SV0212,"chạy thử chatbot, xem phim, trồng cây mini trong phòng, học ngoại ngữ mới, chơi game","quản trị nhân lực hiện đại, làm việc nhóm, xử lý dữ liệu với Pandas, kế toán tài chính doanh nghiệp, giao dịch chứng khoán"
SV0213,"follow các dev trên YouTube, học nhảy trên YouTube, trồng cây mini trong phòng, nấu ăn, theo dõi các trang TechCrunch, Hacker News","hiểu mô hình ERP, thiết kế trải nghiệm sự kiện, quản lý mật khẩu an toàn, phân tích hành vi người dùng, phân tích hình ảnh và video trong truyền thông số"
SV0214,"thiết kế poster, xem vlog du học ngành IT, nấu ăn healthy, vẽ digital art, thử các quán cà phê mới","trình bày báo cáo, hiểu cấu trúc dữ liệu & giải thuật, quản lý dự án sáng tạo, xây dựng mô hình học máy nâng cao, xây dựng hệ thống an toàn thông tin doanh nghiệp"
SV0215,"nghe nhạc indie, thử các quán cà phê mới, thiết kế CV cá nhân đẹp, tự học SQL, nấu ăn healthy","lập kế hoạch thuế và khai thuế, quản lý thời gian, ứng dụng hệ thống CRM, kiểm thử bảo mật, phân tích nghiệp vụ"
SV0216,"chơi game, vẽ tranh, xây web cá nhân, tự học SQL, tìm hiểu Blockchain","tư duy phản biện, phân tích log hệ thống, phân tích hình ảnh và video trong truyền thông số, vẽ biểu đồ với Matplotlib, chạy quảng cáo cơ bản"
SV0217,"chơi game, chơi game giải đố, vọc Python, quay Tiktok chia sẻ kiến thức, vẽ tranh tay","vận hành hệ thống thương mại điện tử, viết báo cáo, quản lý dự án sáng tạo, triển khai ứng dụng web, vẽ biểu đồ với Matplotlib"
SV0218,"xem video TEDx, đọc sách self-help, viết blog công nghệ, vẽ tranh, nghe lo-fi khi code","triển khai ứng dụng web, vẽ quy trình BPMN, tạo dashboard KPI, phân tích hình ảnh và video trong truyền thông số, giao tiếp hiệu quả"
SV0219,"viết truyện ngắn, thử dựng infographic, học nhảy trên YouTube, thiền và yoga, follow fashion tech trends","phân tích hình ảnh và video trong truyền thông số, kiểm toán nội bộ và bên ngoài, trình bày báo cáo, phân tích log hệ thống, lập kế hoạch thuế và khai thuế"
SV0220,"chơi Rubik, sưu tầm đồ công nghệ, thiền và yoga, vọc Python, theo dõi các trang TechCrunch, Hacker News","quản lý logistics và chuỗi cung ứng, lập kế hoạch thuế và khai thuế, lập trình Python, tạo báo cáo với Power BI, xử lý dữ liệu với Pandas"
SV0221,"chơi game mô phỏng (SimCity, Factorio...), xem phim sci-fi, tự học SQL, viết truyện ngắn, chạy thử chatbot","quản lý gian hàng online, quản lý đơn hàng, thực hành CTF cơ bản, lập trình Python, phân tích log hệ thống"
SV0222,"viết content cho mạng xã hội, học ngoại ngữ mới, đạp xe buổi chiều, viết truyện ngắn, theo dõi các trang TechCrunch, Hacker News","viết truy vấn SQL, xử lý dữ liệu với Pandas, phân tích rủi ro tài chính, quản lý đổi mới sáng tạo trong doanh nghiệp, quản trị nông nghiệp và bền vững"
SV0223,"làm đồ handmade, thiền và yoga, chia sẻ kiến thức trên LinkedIn, nấu ăn, viết nhật ký phát triển bản thân","xây dựng mô hình ML cơ bản, hiểu cấu trúc dữ liệu & giải thuật, phân tích rủi ro tài chính, giao dịch chứng khoán, tạo báo cáo với Power BI"
SV0224,"viết blog cá nhân, âm nhạc, làm video dạng slide ngắn, xem video TEDx, cắm trại","kiểm thử bảo mật, thiết kế UI/UX cho website, tạo báo cáo với Power BI, phân tích hành vi du lịch và giải trí, quản lý đơn hàng"
SV0225,"chơi game, xem phân tích case startup, viết blog công nghệ, chụp ảnh sản phẩm, chơi game giải đố","làm việc nhóm, phân tích luật kinh tế và kinh doanh quốc tế, quản lý thời gian, thiết kế trải nghiệm sự kiện, quản lý gian hàng online"
SV0226,"chụp ảnh sản phẩm, làm video dạng slide ngắn, vọc Python, vẽ giao diện app, xem video TEDx","phát hiện lỗ hổng OWASP, lập kế hoạch thuế và khai thuế, tạo báo cáo với Power BI, chạy quảng cáo cơ bản, mã hóa dữ liệu cơ bản"
SV0227,"viết truyện ngắn, vọc Python, nấu ăn healthy, xem vlog du học ngành IT, chơi nhạc cụ","triển khai ứng dụng web, ứng dụng trí tuệ nhân tạo trong kinh doanh, tự động hóa quy trình bằng điều khiển thông minh, quản lý thời gian, quản lý gian hàng online"
SV0228,"đạp xe buổi chiều, thiết kế poster, viết blog công nghệ, làm video dạng slide ngắn, làm portfolio online","ứng dụng trí tuệ nhân tạo trong kinh doanh, tự động hóa quy trình bằng điều khiển thông minh, xây dựng mô hình học máy nâng cao, xây dựng mô hình ML cơ bản, xây dựng hệ thống an toàn thông tin doanh nghiệp"
SV0229,"tham gia workshop chuyên ngành, đạp xe buổi chiều, chơi game giải đố, chơi nhạc cụ, chụp ảnh sản phẩm","quản lý đơn hàng, kế toán tài chính doanh nghiệp, định giá tài sản, lập trình Java, thiết kế truyền thông đa phương tiện"
SV0230,"thử dựng infographic, chơi game giải đố, thể thao, quay Tiktok chia sẻ kiến thức, thiết kế poster","tự động hóa quy trình bằng điều khiển thông minh, viết nội dung marketing, lập trình Python, chạy quảng cáo cơ bản, viết truy vấn SQL"
SV0231,"tự học SQL, thiết kế CV cá nhân đẹp, vẽ tranh, chơi game mô phỏng (SimCity, Factorio...), xem livestream hackathon","tích hợp tài chính công nghệ (FinTech), vẽ quy trình BPMN, kiến trúc đô thị thông minh, quản lý quỹ đầu tư, viết nội dung marketing"
SV0232,"chụp ảnh sản phẩm, nấu ăn, tham gia workshop chuyên ngành, chia sẻ kiến thức trên LinkedIn, chơi game mô phỏng (SimCity, Factorio...)","hiểu mô hình ERP, kế toán tài chính doanh nghiệp, phân tích hình ảnh và video trong truyền thông số, thiết kế trải nghiệm sự kiện, phát hiện lỗ hổng OWASP"
SV0233,"làm portfolio online, viết báo cáo kỹ thuật, xem vlog du học ngành IT, sưu tầm đồ công nghệ, nghe lo-fi khi code","tích hợp tài chính công nghệ (FinTech), phân tích dữ liệu định lượng, lập trình Java, lập trình Python, tạo báo cáo với Power BI"
SV0234,"tìm hiểu Blockchain, tự học SQL, xem video phân tích dữ liệu, chơi nhạc cụ, làm video dạng slide ngắn","phân tích log hệ thống, xây dựng hệ thống hỗ trợ ra quyết định, quản trị nông nghiệp và bền vững, phân tích nghiệp vụ, viết truy vấn SQL"
SV0235,"xem phim, trồng cây mini trong phòng, chạy bộ Strava, sưu tầm đồ công nghệ, thiền và yoga","quản lý đơn hàng, làm việc nhóm, xây dựng mô hình ML cơ bản, quản trị nông nghiệp và bền vững, tích hợp tài chính công nghệ (FinTech)"
SV0236,"nghe nhạc indie, chụp ảnh sản phẩm, xem video TEDx, quay Tiktok chia sẻ kiến thức, tìm hiểu AI","hiểu cấu trúc dữ liệu & giải thuật, kế toán tài chính doanh nghiệp, phân tích dữ liệu cho kinh doanh, kiểm toán nội bộ và bên ngoài, xây dựng hệ thống an toàn thông tin doanh nghiệp"
SV0237,"vẽ digital art, xem phim, xem phim sci-fi, sưu tầm đồ công nghệ, học kỹ năng nói trước đám đông","quản lý dự án sáng tạo, xử lý dữ liệu với Pandas, thiết kế truyền thông đa phương tiện, quản trị hệ thống Linux, quản trị nhân lực hiện đại"
SV0238,"đạp xe buổi chiều, tự học SQL, chơi game, xem video phân tích dữ liệu, chơi nhạc cụ","xây dựng hệ thống hỗ trợ ra quyết định, vẽ quy trình BPMN, viết tài liệu SRS, triển khai ứng dụng web, ứng dụng trí tuệ nhân tạo trong kinh doanh"
SV0239,"đạp xe buổi chiều, thử dựng infographic, viết content cho mạng xã hội, sưu tầm đồ công nghệ, nấu ăn","tư duy phản biện, viết tài liệu SRS, thực hành CTF cơ bản, ứng dụng trí tuệ nhân tạo trong kinh doanh, vẽ quy trình BPMN"
SV0240,"học kỹ năng nói trước đám đông, làm portfolio online, đọc sách, viết báo cáo kỹ thuật, thiết kế poster","viết báo cáo, làm việc nhóm, lập trình Java, kiểm thử bảo mật, viết nội dung marketing"
SV0241,"viết truyện ngắn, follow các dev trên YouTube, chơi game giải đố, viết content cho mạng xã hội, làm video dạng slide ngắn","quản lý đơn hàng, viết tài liệu SRS, phân tích nghiệp vụ, phát hiện lỗ hổng OWASP, triển khai ứng dụng web"
SV0242,"chơi Rubik, nghe podcast UX/UI, thiết kế poster, viết blog cá nhân, thử các quán cà phê mới","quản lý thời gian, làm việc nhóm, phân tích hành vi du lịch và giải trí, viết tài liệu SRS, kiểm thử bảo mật"
SV0243,"thiết kế CV cá nhân đẹp, học ngoại ngữ mới, chia sẻ kiến thức trên LinkedIn, trồng cây mini trong phòng, đạp xe buổi chiều","xây dựng hệ thống hỗ trợ ra quyết định, phân tích hình ảnh và video trong truyền thông số, hiểu mô hình ERP, viết tài liệu SRS, quản lý quỹ đầu tư"
SV0244,"viết truyện ngắn, viết content cho mạng xã hội, xem phim, theo dõi các trang TechCrunch, Hacker News, thiền và yoga","quản lý đơn hàng, mã hóa dữ liệu cơ bản, lập kế hoạch thuế và khai thuế, thiết kế truyền thông đa phương tiện, quản lý mật khẩu an toàn"
SV0245,"đọc sách self-help, follow các dev trên YouTube, du lịch, xem video TEDx, follow fashion tech trends","quản lý dự án sáng tạo, phân tích log hệ thống, tự động hóa quy trình bằng điều khiển thông minh, lập kế hoạch thuế và khai thuế, vận hành hệ thống thương mại điện tử"
SV0246,"tập vẽ tay, xem vlog du học ngành IT, tham gia workshop chuyên ngành, viết blog cá nhân, âm nhạc","tạo dashboard KPI, xây dựng mô hình học máy nâng cao, hiểu cấu trúc dữ liệu & giải thuật, vẽ quy trình BPMN, ứng dụng trí tuệ nhân tạo trong kinh doanh"
SV0247,"xem vlog du học ngành IT, viết nhật ký phát triển bản thân, viết content cho mạng xã hội, nấu ăn healthy, học kỹ năng nói trước đám đông","viết truy vấn SQL, phân tích hình ảnh và video trong truyền thông số, giao dịch chứng khoán, tích hợp tài chính công nghệ (FinTech), xây dựng mô hình học máy nâng cao"
SV0248,"thử dựng infographic, tham gia workshop chuyên ngành, nấu ăn healthy, chạy bộ Strava, luyện kỹ năng phản biện","viết tài liệu SRS, phân tích hành vi du lịch và giải trí, kiến trúc đô thị thông minh, vẽ quy trình BPMN, tự động hóa quy trình bằng điều khiển thông minh"
SV0249,"luyện kỹ năng phản biện, vẽ digital art, chơi nhạc cụ, follow các dev trên YouTube, lập kế hoạch học tập","quản lý gian hàng online, xử lý dữ liệu với Pandas, quản lý đơn hàng, chạy quảng cáo cơ bản, thực hành CTF cơ bản"
SV0250,"làm portfolio online, chạy thử chatbot, học ngoại ngữ mới, học nhảy trên YouTube, trồng cây mini trong phòng","phân tích hành vi người dùng, kiến trúc đô thị thông minh, giao dịch chứng khoán, thực hành CTF cơ bản, vẽ quy trình BPMN"
SV0251,"xem phim sci-fi, cắm trại, chơi nhạc cụ, vẽ tranh, thiền và yoga","trình bày báo cáo, quản lý thời gian, tích hợp tài chính công nghệ (FinTech), quản lý gian hàng online, quản lý dự án sáng tạo"
SV0252,"viết báo cáo kỹ thuật, tìm hiểu Blockchain, nấu ăn healthy, nấu ăn, chơi nhạc cụ","tư duy phản biện, quản trị nhân lực hiện đại, phát hiện lỗ hổng OWASP, phân tích luật kinh tế và kinh doanh quốc tế, viết báo cáo"
SV0253,"chơi game mô phỏng (SimCity, Factorio...), tự học SQL, chạy bộ Strava, viết blog công nghệ, follow các dev trên YouTube","quản lý gian hàng online, thiết kế trải nghiệm sự kiện, quản lý quỹ đầu tư, tích hợp tài chính công nghệ (FinTech), lập trình Java"
SV0254,"thiền và yoga, vẽ digital art, xem vlog du học ngành IT, viết blog công nghệ, vẽ tranh","xử lý dữ liệu với Pandas, giao tiếp hiệu quả, quản lý mật khẩu an toàn, tư duy phản biện, tích hợp tài chính công nghệ (FinTech)"
SV0255,"chơi Rubik, nấu ăn healthy, xem livestream hackathon, lập kế hoạch học tập, thử dựng infographic","vận hành hệ thống thương mại điện tử, viết tài liệu SRS, viết báo cáo, tạo dashboard KPI, quản lý mật khẩu an toàn"
SV0256,"vọc Python, vẽ tranh, đạp xe buổi chiều, viết nhật ký phát triển bản thân, xem phim","thực hành CTF cơ bản, quản lý thời gian, quản lý dự án sáng tạo, làm việc nhóm, mã hóa dữ liệu cơ bản"
SV0257,"quay Tiktok chia sẻ kiến thức, luyện kỹ năng phản biện, chia sẻ kiến thức trên LinkedIn, tự học SQL, nấu ăn healthy","vẽ quy trình BPMN, quản lý logistics và chuỗi cung ứng, định giá tài sản, phân tích dữ liệu cho kinh doanh, phân tích hình ảnh và video trong truyền thông số"
SV0258,"thiết kế CV cá nhân đẹp, thể thao, vẽ tranh tay, sưu tầm đồ công nghệ, học kỹ năng nói trước đám đông","ứng dụng trí tuệ nhân tạo trong kinh doanh, lập kế hoạch thuế và khai thuế, trình bày báo cáo, viết tài liệu SRS, làm việc nhóm"
SV0259,"học kỹ năng nói trước đám đông, đọc sách, thử dựng infographic, vọc Python, xem phim sci-fi","xây dựng mô hình học máy nâng cao, lập kế hoạch thuế và khai thuế, mã hóa dữ liệu cơ bản, phân tích hành vi du lịch và giải trí, phát hiện lỗ hổng OWASP"
SV0260,"chạy thử chatbot, trồng cây mini trong phòng, học ngoại ngữ mới, nghe podcast UX/UI, xem livestream hackathon","triển khai ứng dụng web, thiết kế trải nghiệm sự kiện, vận hành hệ thống thương mại điện tử, tạo dashboard KPI, quản trị nông nghiệp và bền vững"
SV0261,"tập gym, tìm hiểu AI, viết blog công nghệ, viết báo cáo kỹ thuật, làm đồ handmade","phân tích hình ảnh và video trong truyền thông số, kiểm thử bảo mật, phân tích hành vi du lịch và giải trí, lập kế hoạch thuế và khai thuế, xử lý dữ liệu với Pandas"
SV0262,"follow fashion tech trends, học nhảy trên YouTube, chơi game, cắm trại, học ngoại ngữ mới","quản lý đơn hàng, quản lý gian hàng online, quản trị hệ thống Linux, phân tích hành vi người dùng, hiểu mô hình ERP"
SV0263,"học nhảy trên YouTube, thử các quán cà phê mới, vọc Python, chạy bộ Strava, xem phim","vẽ biểu đồ với Matplotlib, phát hiện lỗ hổng OWASP, phân tích dữ liệu định lượng, hiểu cấu trúc dữ liệu & giải thuật, quản lý đơn hàng"
SV0264,"xem phim sci-fi, xem video TEDx, đạp xe buổi chiều, vọc Python, chia sẻ kiến thức trên LinkedIn","quản lý logistics và chuỗi cung ứng, xây dựng mô hình ML cơ bản, tạo báo cáo với Power BI, xây dựng hệ thống an toàn thông tin doanh nghiệp, làm việc nhóm"
SV0265,"chơi game giải đố, nghe podcast UX/UI, du lịch, thiết kế poster, tự học SQL","giao tiếp hiệu quả, quản lý đổi mới sáng tạo trong doanh nghiệp, triển khai ứng dụng web, quản trị hệ thống Linux, ứng dụng trí tuệ nhân tạo trong kinh doanh"
SV0266,"viết báo cáo kỹ thuật, thiết kế CV cá nhân đẹp, nghe lo-fi khi code, luyện kỹ năng phản biện, xem livestream hackathon","xây dựng mô hình ML cơ bản, quản trị hệ thống Linux, phân tích nghiệp vụ, kiểm toán nội bộ và bên ngoài, viết nội dung marketing"
SV0267,"tự học SQL, thể thao, xem video TEDx, sưu tầm đồ công nghệ, vẽ giao diện app","kiến trúc đô thị thông minh, ứng dụng hệ thống CRM, tạo báo cáo với Power BI, phân tích hình ảnh và video trong truyền thông số, giao dịch chứng khoán"
SV0268,"tự học SQL, vẽ tranh tay, học ngoại ngữ mới, thiền và yoga, viết blog cá nhân","vẽ quy trình BPMN, vẽ biểu đồ với Matplotlib, tích hợp tài chính công nghệ (FinTech), tạo báo cáo với Power BI, viết nội dung marketing"
SV0269,"vẽ giao diện app, đọc sách self-help, cắm trại, tìm hiểu Blockchain, chia sẻ kiến thức trên LinkedIn","tư duy phản biện, phát hiện lỗ hổng OWASP, xây dựng mô hình ML cơ bản, vận hành hệ thống thương mại điện tử, phân tích luật kinh tế và kinh doanh quốc tế"
SV0270,"thiết kế CV cá nhân đẹp, âm nhạc, follow fashion tech trends, làm portfolio online, viết content cho mạng xã hội","viết tài liệu SRS, giao dịch chứng khoán, hiểu cấu trúc dữ liệu & giải thuật, kiểm toán nội bộ và bên ngoài, mã hóa dữ liệu cơ bản"
SV0271,"chơi game giải đố, luyện kỹ năng phản biện, làm portfolio online, viết nhật ký phát triển bản thân, học ngoại ngữ mới","làm việc với Git, quản trị nông nghiệp và bền vững, triển khai ứng dụng web, vẽ biểu đồ với Matplotlib, quản trị hệ thống Linux"
SV0272,"theo dõi các trang TechCrunch, Hacker News, chia sẻ kiến thức trên LinkedIn, du lịch, thử các quán cà phê mới, chơi game mô phỏng (SimCity, Factorio...)","triển khai ứng dụng web, làm việc nhóm, lập trình Python, hiểu cấu trúc dữ liệu & giải thuật, xử lý dữ liệu với Pandas"
SV0273,"chơi game mô phỏng (SimCity, Factorio...), xây web cá nhân, xem vlog du học ngành IT, viết content cho mạng xã hội, nghe nhạc indie","tạo báo cáo với Power BI, xây dựng mô hình ML cơ bản, quản lý quỹ đầu tư, thiết kế UI/UX cho website, viết truy vấn SQL"
SV0274,"viết blog công nghệ, chụp ảnh sản phẩm, nấu ăn healthy, tập gym, học kỹ năng nói trước đám đông","phân tích hành vi du lịch và giải trí, xây dựng hệ thống an toàn thông tin doanh nghiệp, hiểu cấu trúc dữ liệu & giải thuật, quản lý dự án sáng tạo, vẽ biểu đồ với Matplotlib"
SV0275,"chơi game, follow các dev trên YouTube, học ngoại ngữ mới, xem video phân tích dữ liệu, chạy bộ Strava","kiểm thử bảo mật, xử lý dữ liệu với Pandas, viết nội dung marketing, quản lý đơn hàng, phân tích rủi ro tài chính"
SV0276,"tìm hiểu Blockchain, follow fashion tech trends, làm portfolio online, trồng cây mini trong phòng, viết blog cá nhân","phân tích hành vi người dùng, lập trình Python, kiến trúc đô thị thông minh, tạo dashboard KPI, thiết kế trải nghiệm sự kiện"
SV0277,"xem video phân tích dữ liệu, vẽ tranh, luyện kỹ năng phản biện, tập gym, xây web cá nhân","thực hành CTF cơ bản, kiểm toán nội bộ và bên ngoài, xây dựng hệ thống an toàn thông tin doanh nghiệp, làm việc với Git, quản lý đơn hàng"
SV0278,"xem phân tích case startup, âm nhạc, viết truyện ngắn, chạy bộ Strava, làm đồ handmade","quản lý đơn hàng, phân tích dữ liệu định lượng, giao dịch chứng khoán, xây dựng mô hình học máy nâng cao, kiến trúc đô thị thông minh"
SV0279,"chơi game giải đố, vẽ giao diện app, vẽ tranh tay, tự học SQL, xem livestream hackathon","phân tích luật kinh tế và kinh doanh quốc tế, hiểu mô hình ERP, lập kế hoạch thuế và khai thuế, mã hóa dữ liệu cơ bản, quản trị nông nghiệp và bền vững"
SV0280,"thể thao, chơi nhạc cụ, viết báo cáo kỹ thuật, đạp xe buổi chiều, thử dựng infographic","chạy quảng cáo cơ bản, kiểm toán nội bộ và bên ngoài, mã hóa dữ liệu cơ bản, phân tích hành vi người dùng, phân tích dữ liệu định lượng"
SV0281,"tìm hiểu Blockchain, đọc sách self-help, cắm trại, làm video dạng slide ngắn, chia sẻ kiến thức trên LinkedIn","kiểm toán nội bộ và bên ngoài, xử lý dữ liệu với Pandas, giao dịch chứng khoán, quản lý logistics và chuỗi cung ứng, xây dựng hệ thống an toàn thông tin doanh nghiệp"
SV0282,"tham gia workshop chuyên ngành, viết truyện ngắn, làm portfolio online, chơi Rubik, chơi nhạc cụ","kiểm thử bảo mật, phân tích hành vi người dùng, quản lý mật khẩu an toàn, quản lý thời gian, xử lý dữ liệu với Pandas"
SV0283,"thể thao, xem video phân tích dữ liệu, viết truyện ngắn, nấu ăn healthy, nghe nhạc indie","chạy quảng cáo cơ bản, ứng dụng hệ thống CRM, phân tích luật kinh tế và kinh doanh quốc tế, tư duy phản biện, kế toán tài chính doanh nghiệp"
SV0284,"xem phim, viết truyện ngắn, vẽ tranh, nghe lo-fi khi code, vẽ digital art","viết tài liệu SRS, xây dựng mô hình học máy nâng cao, phân tích luật kinh tế và kinh doanh quốc tế, viết truy vấn SQL, xử lý dữ liệu với Pandas"
SV0285,"đạp xe buổi chiều, chơi game, follow các dev trên YouTube, xem phân tích case startup, vẽ tranh","xử lý dữ liệu với Pandas, ứng dụng trí tuệ nhân tạo trong kinh doanh, triển khai ứng dụng web, mã hóa dữ liệu cơ bản, quản lý gian hàng online"
SV0286,"đạp xe buổi chiều, theo dõi các trang TechCrunch, Hacker News, xem video phân tích dữ liệu, vẽ digital art, tập vẽ tay","kiểm thử bảo mật, tích hợp tài chính công nghệ (FinTech), tư duy phản biện, phân tích nghiệp vụ, thiết kế UI/UX cho website"
SV0287,"học ngoại ngữ mới, tìm hiểu AI, viết nhật ký phát triển bản thân, thiền và yoga, đạp xe buổi chiều","phân tích hình ảnh và video trong truyền thông số, xây dựng hệ thống an toàn thông tin doanh nghiệp, viết nội dung marketing, định giá tài sản, tạo báo cáo với Power BI"
SV0288,"đọc sách, sưu tầm đồ công nghệ, âm nhạc, học kỹ năng nói trước đám đông, viết truyện ngắn","xây dựng mô hình ML cơ bản, vận hành hệ thống thương mại điện tử, phân tích hành vi du lịch và giải trí, lập trình Java, quản lý đổi mới sáng tạo trong doanh nghiệp"
SV0289,"học kỹ năng nói trước đám đông, chia sẻ kiến thức trên LinkedIn, tập gym, chạy bộ Strava, viết content cho mạng xã hội","xây dựng mô hình ML cơ bản, quản lý đổi mới sáng tạo trong doanh nghiệp, quản lý đơn hàng, tạo dashboard KPI, chạy quảng cáo cơ bản"
SV0290,"viết blog cá nhân, cắm trại, làm video dạng slide ngắn, chạy bộ Strava, thử dựng infographic","làm việc nhóm, quản trị nông nghiệp và bền vững, kiểm toán nội bộ và bên ngoài, thiết kế UI/UX cho website, phân tích log hệ thống"
SV0291,"vẽ tranh tay, chơi Rubik, viết blog công nghệ, vẽ digital art, luyện kỹ năng phản biện","tư duy phản biện, ứng dụng trí tuệ nhân tạo trong kinh doanh, ứng dụng hệ thống CRM, trình bày báo cáo, xây dựng mô hình học máy nâng cao"
SV0292,"xem phim, học ngoại ngữ mới, quay Tiktok chia sẻ kiến thức, nghe lo-fi khi code, chơi game giải đố","lập kế hoạch thuế và khai thuế, phân tích nghiệp vụ, làm việc với Git, quản lý quỹ đầu tư, phân tích dữ liệu định lượng"
SV0293,"viết nhật ký phát triển bản thân, âm nhạc, xem video TEDx, thử dựng infographic, xem vlog du học ngành IT","quản lý đổi mới sáng tạo trong doanh nghiệp, quản trị hệ thống Linux, kiến trúc đô thị thông minh, xây dựng mô hình ML cơ bản, xây dựng mô hình học máy nâng cao"
SV0294,"nghe nhạc indie, thiền và yoga, chia sẻ kiến thức trên LinkedIn, chạy bộ Strava, học nhảy trên YouTube","làm việc nhóm, hiểu mô hình ERP, tích hợp tài chính công nghệ (FinTech), xây dựng mô hình học máy nâng cao, viết báo cáo"
SV0295,"sưu tầm đồ công nghệ, vẽ tranh, tìm hiểu Blockchain, tìm hiểu AI, xem vlog du học ngành IT","viết truy vấn SQL, định giá tài sản, hiểu mô hình ERP, thực hành CTF cơ bản, triển khai ứng dụng web"
SV0296,"chơi game giải đố, lập kế hoạch học tập, tìm hiểu AI, viết truyện ngắn, chơi game","tạo dashboard KPI, viết tài liệu SRS, phân tích luật kinh tế và kinh doanh quốc tế, thiết kế truyền thông đa phương tiện, hiểu mô hình ERP"
SV0297,"chạy thử chatbot, chơi game giải đố, làm portfolio online, chụp ảnh sản phẩm, theo dõi các trang TechCrunch, Hacker News","phân tích dữ liệu cho kinh doanh, quản trị nông nghiệp và bền vững, mã hóa dữ liệu cơ bản, phân tích hình ảnh và video trong truyền thông số, xây dựng mô hình ML cơ bản"
